"id","source_id","source","type","user_name","created_at","fetched_at","link","image","flagged"
1082,"5550296508_10154184679081509","facebook","link","CNN","2015-10-31 14:10:30-04","2015-10-31 16:41:40.256-04","https://www.facebook.com/5550296508_10154184679081509","https://fbexternal-a.akamaihd.net/safe_image.php?d=AQBIB4TWtIhquRyR&w=130&h=130&url=http%3A%2F%2Fi2.cdn.turner.com%2Fcnnnext%2Fdam%2Fassets%2F150707092059-01-jared-fogle-file-large-169.jpg&cfs=1&sx=109&sy=0&sw=259&sh=259",
896,"5550296508_10154179578051509","facebook","link","CNN","2015-10-29 07:20:02-04","2015-10-29 07:20:05.29-04","https://www.facebook.com/5550296508_10154179578051509","https://external.xx.fbcdn.net/safe_image.php?d=AQAylCoo3f7PokM_&w=130&h=130&url=http%3A%2F%2Fprod.cdata.app.sprinklr.com%2FDAM%2F682%2Fhttp___i2.cdn.turner.com_cnnne-b78a055e-5d0d-4f67-a9e0-da92f1f9b2d9-1170658558_p.jpg&cfs=1",TRUE
1096,"273864989376427_1044113685684883","facebook","video","MSNBC","2015-10-31 13:00:32-04","2015-10-31 16:41:42.387-04","https://www.facebook.com/273864989376427_1044113685684883","https://external.xx.fbcdn.net/safe_image.php?d=AQAOUr-4kzqzuVqj&w=130&h=130&url=https%3A%2F%2Fwww.facebook.com%2Fads%2Fimage%2F%3Fd%3DAQJoEEhdueMBt-00EGcIMQdheFmaD0HCq4JUEIAh7hF1b2seG5_VY_aazEBH0RD1PDzK_yDE4mmpcg07-MQ-B7Y0_LAXDB6kbrqIwp7VdP_lXQgZ3-DulL458N_TVlMUuOOG39v4waiXYtDnV_EKAETH&cfs=1&sx=405&sy=0&sw=600&sh=600",
1106,"273864989376427_1043778002385118","facebook","link","MSNBC","2015-10-30 22:30:00-04","2015-10-31 16:41:42.394-04","https://www.facebook.com/273864989376427_1043778002385118","https://external.xx.fbcdn.net/safe_image.php?d=AQAW3RfyR1pew2S6&w=130&h=130&url=http%3A%2F%2Fwww.msnbc.com%2Fsites%2Fmsnbc%2Ffiles%2Frtx1tvz5.jpg&cfs=1&sx=403&sy=0&sw=1400&sh=1400",
1368,"273864989376427_1046670248762560","facebook","link","MSNBC","2015-11-05 07:31:30-05","2015-11-05 12:06:08.589-05","https://www.facebook.com/273864989376427_1046670248762560","https://external.xx.fbcdn.net/safe_image.php?d=AQDsVaqrWuogvc9s&w=130&h=130&url=http%3A%2F%2Fwww.msnbc.com%2Fsites%2Fmsnbc%2Ffiles%2Frtx1u5li_copy.jpg&cfs=1",
110,"1104432558867342719_1478737680","instagram","post","bigclardog11","2015-10-26 12:57:22-04","2015-10-26 13:19:12.649-04","https://instagram.com/p/9Tu4-NqeV_/","https://scontent.cdninstagram.com/hphotos-xfa1/t51.2885-15/s150x150/e35/12105044_118384645188214_1226662225_n.jpg",TRUE
119,"1104435118750285439_2038126262","instagram","post","news","2015-10-26 13:02:27-04","2015-10-26 13:19:12.654-04","https://instagram.com/p/9TveOSk75_/","https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/s150x150/e35/12132895_1005428902832570_2089865146_n.jpg",
128,"1104426699888262043_7819861","instagram","post","moto88","2015-10-26 12:45:43-04","2015-10-26 13:19:12.658-04","https://instagram.com/p/9TtjtnS_ub/","https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/s150x150/e35/12080646_1067738213244974_221110736_n.jpg",
133,"658691776316854300","twitter","retweet","Dad_Trump","2015-10-26 13:08:52-04","2015-10-26 13:19:12.791-04","//twitter.com/Dad_Trump/statuses/658691776316854272",,
161,"658687815291551700","twitter","retweet","JenniferJJacobs","2015-10-26 12:53:07-04","2015-10-26 13:19:17.282-04","//twitter.com/JenniferJJacobs/statuses/658687815291551744",,
1094,"273864989376427_1044140129015572","facebook","link","MSNBC","2015-10-31 14:00:33-04","2015-10-31 16:41:42.386-04","https://www.facebook.com/273864989376427_1044140129015572","https://external.xx.fbcdn.net/safe_image.php?d=AQCZuELjgS3Fz11y&w=130&h=130&url=https%3A%2F%2Fwww.facebook.com%2Fads%2Fimage%2F%3Fd%3DAQK5X0OjpVzywsWcObZrptt6psaw8LulkDv12ZIIr8G1eW8DmzRcEutcAS5Omksh_n4IlWM8iFU_6Lw8mAIBB1CQ6wmBFxknvqiUrP_HbI1cZja1-nY7RnVYvJxeVvivzBuvr1irIL7kWMgGfGPVbZB6&cfs=1&sx=131&sy=0&sw=1365&sh=1365",
